 Net Value Growth Rate_x_ Equity to Liability, Interest-bearing debt interest rate_div_ Cash/Total Assets, Net Value Growth Rate_x_ Revenue Per Share (Yuan ¥), Net Value Growth Rate_x_ Interest-bearing debt interest rate, Net profit before tax/Paid-in capital_div_ Interest-bearing debt interest rate, Net profit before tax/Paid-in capital_div_ Cash/Total Assets, Interest-bearing debt interest rate_div_ Revenue Per Share (Yuan ¥), Revenue Per Share (Yuan ¥)_div_ Net Value Growth Rate, Interest-bearing debt interest rate_x_ Net profit before tax/Paid-in capital, Net Value Growth Rate_div_ Revenue Per Share (Yuan ¥), Net Value Growth Rate_x_ Net profit before tax/Paid-in capital, Net profit before tax/Paid-in capital_div_ Net Value Growth Rate, Net profit before tax/Paid-in capital, Cash/Total Assets, Revenue Per Share (Yuan ¥)_div_ Cash/Total Assets, Equity to Liability, Cash/Total Assets_div_ Net profit before tax/Paid-in capital,Bankrupt
4.734352163636492e-05,0.0,2,0.0,17138224.8699193,3.840367473776313,0.0,40.43257798020032,0.0,0.0247320064851665,8.276343622107224e-05,354.8821593839151,0.171382248699193,0.0446265133390984,0.4375423031285902,0.0980365191424141,0.2603916745981627,0
4.657393806090136e-06,0.0006179080774365,0,3.668221799886706e-08,1263.2896875161994,0.780657880093175,0.0236419182986294,18.895245769327275,2.070349558143662e-05,0.0529214210213805,4.634388768457162e-05,564.38171490156,0.161729884624086,0.207171260217349,0.0261360744273853,0.0162532709390855,1.2809707240512571,0
1.4045577486856288e-05,0.0034015078398287,0,1.122909761060906e-07,490.7974868294837,1.6695071420372174,0.0580030566037721,13.820418429153884,4.418208203446084e-05,0.0723546362704218,5.5113965753754e-05,393.4501515439495,0.147258879420858,0.0882049911724809,0.0586434830000004,0.0375283464589446,0.5989790600715165,1
2.3748350942322417e-05,0.00626518549287,0,1.2689793721710856e-07,533.9319505186895,3.345295712197625,0.1024739345875832,6.7389258325716375,4.679191997322027e-05,0.1483876267068506,6.775715192187387e-05,368.7280459807297,0.158065002639318,0.0472499243071469,0.0611390967903154,0.0554005451513941,0.2989271535691744,0
1.2000407109678692e-05,0.0171189792137122,6,4.376783000233578e-07,183.2696955698617,3.1374229923639443,0.0217598867904902,95.57898187664836,0.000166831795162,0.0104623208342124,8.021400952763179e-05,381.1661635137961,0.174858607948119,0.0557331851648537,0.786721708354576,0.0261597007102143,0.3187328472502846,0
1.2323079350895294e-05,0.0017671011944203,5,9.358524712154933e-08,905.4968662175804,1.600181146209399,0.0051014513143489,91.50998662566226,3.9562813079436026e-05,0.0109275223229723,8.474520218768313e-05,422.7368168376436,0.18927682678531,0.118284614983665,0.346391772506765,0.027523367642635,0.6249291619229196,0
9.155654369246368e-06,0.0190793079647457,5,2.247576735889396e-07,346.20081767561896,6.605402286551143,0.0125092026852375,91.4426323726138,8.901013018125448e-05,0.0109355687602098,7.781282496134195e-05,396.01816813217306,0.175544830706583,0.0265759384572195,1.525221370047663,0.0206550500776167,0.1513911679218202,0
4.2336661683316506e-05,0.0136191280852085,5,1.1902361799503215e-06,135.94140246306677,1.8514187862010063,0.0639407537601741,18.956465512829272,0.0001961228699598,0.0527518896201543,0.0001618037226604,164.7747683364612,0.163283311967423,0.0881936030195967,0.2129959381812556,0.0427238027879205,0.5401262171600869,0
2.18583870634624e-05,0.0034182111899306,2,9.467346682242345e-08,852.9798496166275,2.9158061060541,0.015074424881077,30.02954201236998,3.655841038443505e-05,0.033299788758304,8.075846028920579e-05,386.1442092804329,0.176593017117864,0.0605640366803342,0.226755496670123,0.0477973268316861,0.3429582564430009,0
2.176962481226122e-05,0.0014601053716599,6,8.985404414472392e-08,1043.971465041559,1.524385712287355,0.0045089472668661,95.80692666543185,4.052564972957112e-05,0.0104374274365674,9.380981930758496e-05,451.00653558305527,0.205693386622427,0.134935252751697,0.3238239329683758,0.0477334663490986,0.6560018696146361,0
1.174550976826114e-05,0.0,8,0.0,21246512.329386897,6.176813820343473,0.0,219.3990804240284,0.0,0.0045578051426566,9.81600408538818e-05,459.86585955998345,0.212465123293869,0.0343971937159531,2.9469186371662386,0.0254228824616902,0.1618957105228977,0
9.77506069519909e-06,0.014609975794155,3,1.491235093800963e-07,371.01567968405584,5.420666623064409,0.011081075044715,95.3955642311468,5.848858017540016e-05,0.0104823856831636,5.532855368140399e-05,392.2052479047363,0.147311665786894,0.0271759216760225,1.318461580457424,0.0260259916149182,0.1844790749331784,0
1.1419859000569249e-05,0.0142860746154248,2,1.8686302550819789e-07,433.1737812306805,6.188510408812689,0.0182106290242733,45.39565686022866,6.691834253931307e-05,0.0220280655184979,8.09462227735483e-05,358.1068799273463,0.170258653193575,0.027512047336305,0.7844906388042877,0.0240200190506334,0.1615897060405394,0
8.117115872505315e-06,0.0025581338415398,9,8.99774309487272e-08,969.2342552718652,2.4795607489480087,0.0010715772316727,378.4315070108098,3.5367559076982845e-05,0.0026424298615734,8.721377374740747e-05,393.0631034745379,0.185151949325089,0.074671259660823,2.387260220190145,0.0172323678028742,0.4032971616018145,0
0.0003993621926403,0.0,0,0.0,16749113.9431415,0.2747952064834211,0.0,1.4013426708341628,0.0,0.7135743591683176,7.592312243032427e-05,369.4877401091092,0.167491139431415,0.609512585124253,0.0010422057534904,0.881017884275512,3.639073391002304,0
7.220585151446576e-06,0.0059436483822046,8,1.2864758905109728e-07,605.9162079246755,3.6014792396060007,0.002933565937634,215.26301096874005,4.922711560800931e-05,0.0046453765433817,7.795239411875075e-05,382.6424212932017,0.17270944875952,0.0479551321149978,2.02608289598122,0.0159977547235787,0.2776636118220389,0
1.2842496367555445e-05,0.0121168336614084,7,2.147707546585435e-07,461.2726501732874,5.589290700445055,0.0058111815881075,155.8531114288893,8.97287451390408e-05,0.0064161653490346,9.907012139349848e-05,417.7798913456084,0.203446195611191,0.0363992768710499,2.0850892165709665,0.0263728053562389,0.1789135204645354,0
5.868042670310085e-05,0.0007594037118573,3,1.4843552312897613e-07,757.5655459867985,0.5753220559542129,0.0113924331904945,34.068089550426684,4.364632225230691e-05,0.0293524928628105,0.000112454323056,294.0375428441357,0.181841490083704,0.316069030291019,0.0666585740480541,0.0948877369980472,1.7381567471975778,0
2.2969100808478057e-05,0.0063277179989578,5,9.69157923816484e-08,883.068938972491,5.588071091663283,0.0054616108515603,87.34513769257808,4.082992568919524e-05,0.0114485772933205,8.558730616989002e-05,421.2834547996086,0.189887640449438,0.0339808820349505,1.1585806026239844,0.0509602247219879,0.1789525646060837,0
2.6895351089385543e-05,0.0035678505405345,2,9.114369080657965e-08,1181.045565707335,4.214040456068092,0.009360208216124,34.28140215206698,3.454388120357998e-05,0.029169772144689,0.0001076511462603,378.9975230025129,0.201990800090491,0.0479327998997318,0.3811719253864152,0.050464985037124,0.2373018845672143,0
1.569812559466309e-05,0.0469740277967823,2,4.013769738939426e-07,229.59168544640167,10.784989234861555,0.0459513118329398,30.829803920272408,0.0001305543871633,0.0324355161766862,9.21540379993558e-05,325.26014930545693,0.173131739687806,0.0160530185119036,1.022255889948496,0.0294924004747431,0.0927214017119948,0
1.6430103741581372e-05,0.0021256958769169,3,1.1421565052426209e-07,653.5903302495132,1.3893877007940345,0.0087181204106276,67.90082417959727,4.419324369657873e-05,0.014727021521417,7.465311562195856e-05,386.919282979056,0.169957016816228,0.122325109704959,0.243824937497409,0.0374051557612279,0.7197414075572605,0
1.1413624605981202e-05,0.1289955252800763,2,4.334772588645811e-07,189.1668614602792,24.401947669999352,0.0387179411313748,49.02454712904429,0.0001556507735835,0.0203975091308008,8.200043655763942e-05,359.0673174526359,0.171593394163336,0.0070319448457314,3.331671737977538,0.0238840507205083,0.0409802747373543,0
2.560959464111344e-05,0.0,7,0.0,20136490.4607496,1.0722764840982708,0.0,106.1084584050733,0.0,0.0094241378149465,0.0001055085975593,384.3009185826004,0.201364904607496,0.187791951862181,0.2960638375034865,0.048876335210931,0.9325951952862708,0
1.7062248743960383e-05,0.0004540378977159,7,6.19810300115173e-08,1428.024804337168,0.6484309595964223,0.0024925094852759,94.78801453505304,2.0913621412661784e-05,0.0105496488692556,8.851776243640072e-05,337.41312621074394,0.172822562401026,0.266524220287507,0.1821609132799853,0.033312427552307,1.5421840826963915,0
1.1213079531963146e-05,0.0161988901490673,0,2.411648990822373e-07,305.3282137724503,4.946070806363252,0.1173087423251727,10.081248723514038,8.708521858896764e-05,0.099191646456763,7.363582664574512e-05,361.0943818255641,0.163064625593847,0.0329685082395812,0.1380873602933733,0.0248310733908119,0.2021806145735821,0
3.073270727519148e-05,0.0055431811080172,6,7.168689456655949e-07,164.3779745020137,0.911185068689632,0.035622244436445,48.5187119241388,0.0002036689001831,0.0206102782444504,0.0001178385239033,284.1045619489324,0.182972626498756,0.20080730432736,0.1556100527005106,0.0477199135163186,1.0974717759435315,0
4.575533845782851e-06,0.0,0,0.0,14725887.9420858,1.6042907445922991,0.0,16.51715461993862,0.0,0.0605403218915663,3.384448757113416e-05,640.7020946021432,0.147258879420858,0.0917906332591688,0.0413582513730068,0.0199083524448709,0.6233283003842036,0
2.776801664239853e-05,0.0268693662727443,3,4.6421589658087894e-07,181.14676018358173,4.867346362335985,0.0345877239692789,64.80903029848082,0.0001885046358492,0.0154296042093372,8.40920300324857e-05,406.0621253812516,0.184789985672272,0.0379652326427253,0.7768466403352917,0.0610194734924817,0.2054506928505872,0
2.100592374095295e-05,0.0015541532022636,8,1.3689067110008094e-07,968.3281544044132,1.5049974796796697,0.0035048951376203,104.59883398107688,4.8598721571872936e-05,0.0095601780698489,0.0001325610079477,355.01269643401866,0.21693688258804,0.144144339420581,0.443423525694131,0.0343763198756058,0.6644528632311011,0
2.012356579473793e-05,0.0030541864733631,7,3.433803842984784e-07,431.312482294705,1.317335251772876,0.0096742504996184,74.37045847534304,0.000106561519586,0.0134460019594776,0.0001481072255897,310.32633773656704,0.214388055199457,0.162743722023365,0.3157025837853528,0.0291292481999568,0.7591081241950459,0
2.5820908494488027e-05,0.0008187720999359,8,1.442292160689297e-07,840.0198732256902,0.6878100266532668,0.0036365317828861,142.12263397275845,6.262065766185826e-05,0.0070360428111874,0.0001211598452808,434.1663497585483,0.229356760425307,0.333459450516019,0.2251518864029853,0.0488792298290254,1.4538897190506717,0
6.816977914902159e-06,0.1033827344828413,2,1.4903436341248498e-07,345.9696705598474,35.76813208975447,0.0202467736793691,59.870086484580646,6.250474229233888e-05,0.0167023477571274,5.156258269928987e-05,419.3862294001044,0.147055274866149,0.0041113390214456,5.106131321165814,0.0194418609106291,0.0279577780913333,0
1.165651639463154e-05,0.1828079387323431,1,1.3196767737941038e-07,587.3115093930265,107.3688829488623,0.0330052529699007,19.57905949069873,5.008826046617855e-05,0.0510737883984043,7.750878984708042e-05,379.5410595235821,0.171517985068999,0.0015974545573121,5.538746583424735,0.0257945222583844,0.0093136265770216,0
4.8915944997807066e-05,0.0,7,0.0,18232410.8287459,8.491945088158051,0.0,112.9322973223284,0.0,0.008854677477426,8.787910638886636e-05,378.2627312067987,0.182324108287459,0.0214702310807753,2.535314183560028,0.101486649321385,0.1177585899355593,0
2.261156264594868e-05,0.0,7,0.0,24041173.3655079,0.627978473815519,0.0,80.29458256111438,0.0,0.0124539096730809,0.0001314152420097,439.8024419275254,0.240411733655079,0.382834344487292,0.114649816839107,0.0413657114139124,1.592411163726461,0
1.0230233067437452e-05,0.0127179032170253,4,1.0848405396194784e-07,712.9480954901279,9.067576446802567,0.0070763845339673,77.56740998079663,4.245630806952942e-05,0.0128917185289422,7.734666916179737e-05,391.35109287356977,0.173983862453812,0.019187461258118,1.797231265196886,0.0230119212910411,0.1102829876557193,0
7.622418088594281e-06,0.0340297292495708,7,2.0328699706652989e-07,369.31138004168525,12.567840645174114,0.0086502738480836,119.30770584997246,7.748541990914803e-05,0.0083814978467539,7.507784048562019e-05,381.154108068156,0.169165221325692,0.0134601559984167,3.9339474588468537,0.0171748152937481,0.079568099738545,0
3.083600146425477e-05,0.0,2,0.0,17498680.340849098,2.8045196060971698,0.0,49.71833811738221,0.0,0.0201128479092416,7.888857749535131e-05,388.1386019109538,0.174986803408491,0.0623945630413368,0.3592429440057494,0.0683989177830904,0.3565672282726945,0
1.594708495004116e-05,0.034254153944954,9,1.6469143507201764e-06,70.48953079715733,2.414568221270401,0.0131513326919519,333.6548972108972,0.0005094148808591,0.0029970596464826,0.0001160906516854,309.30968909248344,0.189495513158887,0.0784800724799996,2.604614533868646,0.0260305287473497,0.4141526468369182,0
1.5047641742547588e-05,0.0006248794145621,8,1.494380409114083e-07,865.4169053264354,0.54080708126412,0.0031595411281444,92.53118348257208,3.781164633317094e-05,0.0108070147195177,0.0001293323941416,253.0220366489085,0.180898876404494,0.334497970280969,0.1977753397604723,0.0210473292621794,1.8490880564793748,0
5.871472051806812e-05,0.0,2,0.0,18618505.3917502,2.946998030531057,0.0,27.453828853597564,0.0,0.0364239740724967,8.595346021389551e-05,403.28944700221473,0.186185053917502,0.0631778584575337,0.2006161583534925,0.127182819379275,0.3393282851385307,0
2.5247421935044508e-05,0.0052838145955638,2,2.034592993511097e-07,390.3718019987634,2.062698468280583,0.0212625213085559,45.98906141906533,7.766847116804999e-05,0.0217438140702644,7.942655396753e-05,381.73122941148097,0.174127139733052,0.0844171466570272,0.2485035523371162,0.0553500202083554,0.4848017485294169,0
1.955724674331528e-05,0.0042801836130666,7,1.5184672901819418e-07,765.90536618681,3.278330208973265,0.0066636182979292,80.85280560600727,6.266271751975375e-05,0.0123679187534482,0.0001163042906277,412.6630688095722,0.219078500867205,0.0668262359551986,0.6423210971193847,0.0368393313306894,0.3050332763842159,0
3.014616840227806e-05,0.0156406272436808,2,8.735508701078155e-08,1077.7712949480806,16.857940134690757,0.0119926790217058,31.97240079445736,3.610267519473332e-05,0.0312762998479131,9.415394947689413e-05,413.2778073502771,0.197262649875575,0.0117014581686787,1.304180405938122,0.063159464851637,0.059319174627674,0
1.7372639150746227e-05,0.0227318655309427,0,3.421677795185509e-07,196.89631230894275,4.475881633919622,0.1792680211917984,8.736887308222837,0.0001055243145911,0.114454510091252,6.737249426279807e-05,308.3927337608147,0.144144483824749,0.0322047030854349,0.1268034851652165,0.037169027664168,0.2234195856595771,0
4.00675760767066e-05,0.007299564901255,2,2.178671045770688e-07,358.2358236130374,2.6150197790793808,0.0286693768538057,37.35608224687184,8.3590924509826e-05,0.0267687930627065,7.804941738127873e-05,383.6699962606973,0.173048789684036,0.066174934858336,0.2546117624431319,0.0888366086293201,0.3824062055279354,0
2.005331113498499e-05,0.0170040948413333,7,3.325517447495563e-07,318.0836172520025,5.408816285041809,0.0115048780394888,89.77038889152709,0.0001092523549919,0.0111393321703532,0.0001057810668197,328.5215951734279,0.186418822109946,0.0344657237734859,1.4779897226990617,0.0353401109818469,0.1848832727004679,0
3.0012081873750465e-05,0.00064317961388,7,1.715286213222022e-07,802.1452575609305,0.5159406727632517,0.0063743828707648,82.32788180192618,7.220992063764115e-05,0.0121463382079435,0.0001375954560332,420.9714800963674,0.240675665485258,0.466479331890722,0.1009006660364158,0.0524957581143986,1.938207219945229,0
1.4868306874643532e-05,2890195445.074464,6,40185.788369571,2.2361310107332327e-09,6.4628556618109485,1892661815.7216256,106.49511529301748,18112661.18693919,0.0093898897755255,8.986068756396061e-05,450.71295799168,0.201251790965991,0.0311397525905819,1.52705296491474,0.0332990261734214,0.1547303052251648,0
7.522535985144489e-06,0.0020038239041261,1,9.499106804967257e-08,593.4943929685473,1.1893054396637006,0.0227638459894207,29.372953702265328,3.769830267091992e-05,0.0340439908142661,5.637890321515388e-05,396.8510227363015,0.149581479526431,0.125772120974805,0.0880265178006273,0.0199583886574488,0.8408267719020215,0
1.4557419221256128e-05,0.0072607967255809,6,1.4561050438616237e-07,725.2680064145991,5.26622077576784,0.0071246972517391,68.72934182121936,5.1715909846005065e-05,0.0145495558171272,0.0001056105951385,355.1595518000228,0.193673176985144,0.0367764916378193,1.0191022203101332,0.0266960111870145,0.1898894328652747,0
5.12281682081515e-05,0.0117192503074658,0,8.278970039255457e-08,937.7665428561012,10.990511642571413,0.0327972539056639,12.743491542208464,3.245120530451364e-05,0.078469528174899,7.76415847581742e-05,391.9627203272234,0.1744513988387,0.0158728996981225,0.3573235027166049,0.115103595987785,0.0909875122464547,0
6.92449100159361e-06,0.0020121991173335,5,1.3948099536375802e-07,420.1094206332004,0.8453669631698846,0.0072696125618666,131.41194294032886,5.598180661138777e-05,0.0076094577715812,5.859888539600566e-05,401.347448092856,0.153359475152703,0.181411710393767,0.2767958676593299,0.0181221246535245,1.182918097391445,0
3.092476202920024e-05,0.0040961778940288,2,1.8826969497018106e-07,459.1853885112928,1.8809544003305272,0.0231341423452935,33.33449950567639,6.667089301493406e-05,0.0299983251335898,8.645296184994162e-05,354.1172343424599,0.174971721589624,0.09302283072324,0.1770619090156487,0.0625884728089539,0.531644911312956,0
1.507309095365396e-05,0.0017022276357891,2,1.0216764288144808e-07,848.3836756497847,1.4442080744125614,0.0104030633828419,45.132662881459865,4.0699326700632765e-05,0.0221564167533434,8.668131787478835e-05,398.349742439244,0.185823090264686,0.128667800100889,0.1636274590113128,0.0323129413525371,0.6924209095511531,0
1.3151701206003032e-05,0.0166100193072042,7,2.0504870307255097e-07,648.6262490082686,10.77399797319102,0.0055770678785567,110.22320232234576,8.176177696193799e-05,0.0090723414622067,0.0001330037172413,398.7363006025773,0.230291833195083,0.0213747697027732,2.978270492616144,0.0227717649038934,0.0928160086185352,0
6.037702261894006e-05,0.0068017714673897,2,1.827225297350548e-07,602.617536115091,4.098992097968993,0.0204757648713646,28.58525631468444,6.4452150667139e-05,0.0349824211977971,0.0001101151676582,352.726055353098,0.197081668049167,0.0480805091468456,0.3321862334071563,0.108061446780068,0.2439623491274044,0
1.5678392890315294e-05,0.0095600941375503,2,3.13474457767938e-07,236.72988838803207,2.2631919354209304,0.0275774252533821,58.15853593759167,0.0001190250991014,0.0171939849540814,7.42098199634081e-05,379.6877349868879,0.167860643993666,0.0741698566235507,0.3466636327201649,0.0354641087749807,0.4418537331943757,0
8.719550273618739e-05,0.0,1,0.0,18056707.6389413,0.3046704608282957,0.0,23.976910915755465,0.0,0.0417058709309959,8.531095873388825e-05,382.1757424383985,0.180567076389413,0.592663538341747,0.0191143908070504,0.1845558558601,3.2822345987441044,0
1.7161127784225367e-05,0.0032145521064928,4,2.88717135133513e-07,315.67893252580166,1.0147861952000623,0.0180850841728829,50.214117603869546,8.277150767636698e-05,0.0199143579426574,9.114369695841026e-05,286.6821177026872,0.161646934620315,0.159291607667746,0.1777459778687885,0.0304359357094476,0.9854291279176272,0
1.7541864155813846e-05,0.0102059341814627,2,1.8335271585710746e-07,513.1455837167306,5.237279243985025,0.0238289242133683,28.203350423955563,6.323449628726378e-05,0.035456077422849,9.408931666744183e-05,344.87237000330254,0.180137244551693,0.0343951857036813,0.4282999585754122,0.0335845044395127,0.1909387693804954,0
2.394583607887533e-05,0.0,7,0.0,20543699.5701682,0.3568717949885372,0.0,97.47030960100793,0.0,0.0102593306896639,0.0001044945358484,403.8826445412191,0.205436995701682,0.575660489335008,0.086125028682311,0.0470776829014844,2.802126556356321,0
1.519048548542572e-05,0.0284495315509156,2,1.208952091340749e-07,718.910972007941,20.45350834137506,0.0169600426165637,29.76018096170621,4.3870588702780296e-05,0.0336012365712787,8.691641069838637e-05,362.8737038408262,0.177595958072544,0.0086828993135718,1.677443427557083,0.031038658887249,0.0488913087825565,0
0.0006670636620952,0.0013433174790582,9,2.756281012457785e-06,703.076965457176,0.9444927563939246,0.0048083007044506,4.8689879604956605,4.53705728011811e-05,0.2053812614051388,0.0019379539769538,16.460778411764853,0.178606439936656,0.189103017765481,0.2793746288675254,0.0614781709549213,1.0587692540361653,0
1.0925958141262836e-05,0.0022852002369614,7,1.1073651201355765e-07,685.5309831013993,1.5666374788185262,0.0032452515580458,178.14708466741965,4.38906646112826e-05,0.0056132101449914,7.59163101719063e-05,396.3431840562993,0.173463539702888,0.110723461159202,0.7041672742443142,0.0249650617836587,0.6383096699499777,0
2.324763033450553e-05,0.0,4,0.0,21389789.6086268,2.0295032264786355,0.0,76.85640798535533,0.0,0.0130109894913758,9.811741460667188e-05,466.2914605517655,0.213897896086268,0.10539420336984,0.3345125124042901,0.0506802919489473,0.4927313469227373,0
2.33893240089798e-05,0.008876265764394,1,2.7905378212414735e-07,251.4153725637787,2.2316637834957023,0.0893487260527852,17.15755144469535,0.0001075575320144,0.0582819290425248,7.015948324937002e-05,385.4275338880504,0.16444461202021,0.0736869912572513,0.0993439305862162,0.0548215028665594,0.4480960845785232,0
5.457278160155008e-06,0.0021909520958853,8,1.681420728282499e-07,274.98716152759994,0.6024984631710709,0.0036403226874256,272.0071575673812,4.5785741382371926e-05,0.0036762843033202,4.6238044484712565e-05,272.29728721792765,0.112208732373124,0.186239025005246,0.6018565079376548,0.0132435156240439,1.659755033934447,0
2.434429108599279e-05,0.0153065532554967,2,2.674772847741496e-07,501.4365999778656,7.675464329271092,0.0234553826542595,23.87661834447584,7.511662108068706e-05,0.0418813464203375,0.0001341263656099,280.8295823136423,0.194080386094563,0.0252858069576034,0.6525812946656273,0.035226104813049,0.1302852192515273,0
1.0147174214651748e-05,0.1147918049646471,4,3.556959047148089e-07,200.786371220762,23.04891101747808,0.0219964898956564,85.95520692432652,0.0001350374084237,0.011633695181368,7.141976084074891e-05,379.6341012726879,0.164663298393786,0.0071440714825881,5.218640552168568,0.0233950261929134,0.0433859343181865,0
3.0089637127788776e-05,0.7419436666077747,2,1.4505730224604357e-05,5.17207803801394,3.8373917128969297,1.739893198421563,42.665813188265126,0.0055695161854621,0.0234374262038437,7.502479158278453e-05,383.9441453049536,0.169723248623784,0.0442287946991315,0.4264303544011998,0.0680696454531836,0.2605935984128786,0
2.2637117457787546e-05,0.000545524424416,7,9.791831016402404e-08,1066.280591156509,0.5817127175428697,0.0037027656647425,99.5853410042704,3.8502455177254285e-05,0.0100414417379396,0.0001044138882758,393.2023331858024,0.20262423648292,0.348323535922799,0.1473288799526361,0.0439292963493616,1.719061474472457,0
1.0156788557880171e-05,0.0142517143700994,2,1.767887325485681e-07,376.8210468842036,5.370472575271701,0.0203901077526072,49.88085025498155,6.775852911435114e-05,0.0200472832519288,6.661928629169573e-05,383.2648321652954,0.159791870899631,0.0297537721225252,0.6989520452794357,0.0243618978277458,0.186203278633501,0
2.55991346021763e-05,0.0011665966393288,8,2.0001000926631098e-07,779.4413866619574,0.9093231262716308,0.0039217262239335,121.74974341582768,7.443913835618325e-05,0.0082134417248781,0.0001559011236448,372.1713153499886,0.240879270039967,0.264899521399372,0.2974701508135793,0.0395526389577203,1.099719001797994,0
5.46338692299568e-06,0.0008393032031213,9,4.951489483753207e-08,1588.6134239538335,1.3334506467141531,0.0001090108999999,2201.529490078552,1.887982328132365e-05,0.0004542196592014,7.866724241911828e-05,381.2874428673115,0.173192066963276,0.129882612495291,7.699259383496478,0.0120280722282417,0.7499339159887296,0
1.1638684236026653e-05,0.0465179839212464,2,3.2655740217745465e-07,259.11519445597884,12.05368837971204,0.0275416720472366,54.64665331111936,0.0001273567519635,0.0182989822526476,8.461719172093187e-05,389.9896833245414,0.181660508257296,0.0150709377908069,1.6890029612866466,0.0249865216602286,0.0829620983986244,0
1.2301649283610908e-05,0.0017771005647631,9,1.780966476449765e-07,390.5353755209426,0.6940369646626057,0.0023306131790174,435.239589669564,7.05562223517385e-05,0.0022975301503788,6.955467754554279e-05,396.1587118106494,0.165998039363547,0.239177509088258,0.7625033975262993,0.0293589120685709,1.4408452991182024,0
1.4105017499237912e-05,0.0095717075928453,0,5.5170298051841744e-08,1251.224932465521,11.977273320907129,0.0338366048733278,9.194453265949424,2.147820543308628e-05,0.108758361370395,6.903572142725565e-05,389.2981578840556,0.163939371088153,0.0136875269456574,0.2828795296672885,0.033495234788689,0.0834913908714671,0
